DateRawText,StartDate,EndDate,MedianDate,Firm,WikipediaRefNumber,Primary vote,,,,,,,,TPP vote,
24Ð26 Aug 2018,8/24/18,8/26/18,,Essential,42,0.350,0.390,0.100,0.070,,,,0.090,0.450,0.550
24Ð25 Aug 2018,8/24/18,8/25/18,,Newspoll,43,0.330,0.410,0.100,0.070,,,,0.090,0.440,0.560
15Ð18 Aug 2018,8/15/18,8/18/18,,Ipsos,44,0.330,0.350,0.130,0.080,,,,0.110,0.450,0.550
12-Aug-18,8/12/18,8/12/18,,Newspoll,45,0.370,0.350,0.100,0.090,,,,0.090,0.490,0.510
6-Aug-18,8/6/18,8/6/18,,ReachTEL,46,0.370,0.340,0.120,0.080,,,,0.080,0.480,0.520
29-Jul-18,7/29/18,7/29/18,,Newspoll,47,0.390,0.360,0.100,0.070,,,,0.080,0.490,0.510
17-Jul-18,7/17/18,7/17/18,,Essential,48,0.400,0.360,0.100,0.060,,,,0.080,0.490,0.510
16-Jul-18,7/16/18,7/16/18,,Newspoll,49,0.380,0.360,0.100,0.070,,,,0.090,0.490,0.510
3-Jul-18,7/3/18,7/3/18,,Essential,50,0.400,0.370,0.110,0.060,,,,0.060,0.480,0.520
2-Jul-18,7/2/18,7/2/18,,Newspoll,51,0.390,0.370,0.090,0.060,,,,0.090,0.490,0.510
21Ð24 Jun 2018,6/21/18,6/24/18,,Ipsos,52,0.350,0.350,0.120,0.060,,,,0.120,0.470,0.530
14Ð17 Jun 2018,6/14/18,6/17/18,,Newspoll,53,0.380,0.380,0.100,0.060,,,,0.080,0.480,0.520
14Ð17 Jun 2018,6/14/18,6/17/18,,Essential,54,0.380,0.350,0.110,0.070,,,,0.090,0.480,0.520
2-Jun-18,6/2/18,6/2/18,,ReachTEL,55,0.350,0.340,0.110,0.090,,,,0.110,0.480,0.520
31 May Ð 3 Jun 2018,5/31/18,6/3/18,,Essential,56,0.360,0.370,0.100,0.080,,,,0.090,0.460,0.540
24Ð27 May 2018,5/24/18,5/27/18,,Newspoll,57,0.380,0.380,0.090,0.080,,,,0.070,0.480,0.520
17Ð20 May 2018,5/17/18,5/20/18,,Essential,58,0.400,0.360,0.100,0.080,,,,0.070,0.490,0.510
10Ð13 May 2018,5/10/18,5/13/18,,Essential,59,0.380,0.360,0.100,0.070,,,,0.080,0.480,0.520
10Ð13 May 2018,5/10/18,5/13/18,,Newspoll,60,0.390,0.380,0.090,0.060,,,,0.080,0.490,0.510
10Ð12 May 2018,5/10/18,5/12/18,,Ipsos,61,0.360,0.370,0.110,0.050,,,,0.110,0.460,0.540
3Ð6 May 2018,5/3/18,5/6/18,,Essential,62,0.380,0.370,0.100,0.060,,,,0.090,0.470,0.530
30-Apr-18,4/30/18,4/30/18,,ReachTEL,63,0.360,0.350,0.110,0.060,,,,0.120,0.480,0.520
19Ð22 Apr 2018,4/19/18,4/22/18,,Essential,64,0.370,0.360,0.110,0.080,,,,0.080,0.470,0.530
22-Apr-18,4/22/18,4/22/18,,Newspoll,65,0.380,0.370,0.090,0.070,,,,0.090,0.490,0.510
5Ð8 Apr 2018,4/5/18,4/8/18,,Essential,66,0.380,0.370,0.100,0.070,,,,0.080,0.470,0.530
5Ð8 Apr 2018,4/5/18,4/8/18,,Newspoll,67,0.380,0.370,0.100,0.070,,,,0.080,0.480,0.520
3Ð5 Apr 2018,4/3/18,4/5/18,,Ipsos,"68,69",0.360,0.340,0.120,0.080,,,,0.100,0.480,0.520
24 Mar Ð 1 Apr 2018,3/24/18,4/1/18,,Roy Morgan,70,0.385,0.375,0.110,0.030,,,,0.100,0.490,0.510
28-Mar-18,3/28/18,3/28/18,,ReachTEL,71,0.340,0.360,0.100,0.070,,,,0.130,0.460,0.540
22Ð25 Mar 2018,3/22/18,3/25/18,,Essential,72,0.380,0.360,0.090,0.080,,,,0.090,0.480,0.520
22Ð25 Mar 2018,3/22/18,3/25/18,,Newspoll,73,0.370,0.390,0.090,0.070,,,,0.080,0.470,0.530
17Ð25 Mar 2018,3/17/18,3/25/18,,Roy Morgan,74,0.400,0.350,0.120,0.035,,,,0.095,0.490,0.510
8Ð11 Mar 2018,3/8/18,3/11/18,,Essential,75,0.360,0.380,0.090,0.080,,,,0.090,0.460,0.540
3Ð11 Mar 2018,3/3/18,3/11/18,,Roy Morgan,76,0.360,0.360,0.135,0.030,,,,0.115,0.460,0.540
1Ð4 Mar 2018,3/1/18,3/4/18,,Newspoll,77,0.370,0.380,0.090,0.070,,,,0.090,0.470,0.530
22Ð25 Feb 2018,2/22/18,2/25/18,,Essential,78,0.350,0.350,0.100,0.080,,,,0.120,0.470,0.530
24-Feb-18,2/24/18,2/24/18,,ReachTEL,79,0.330,0.370,0.110,0.070,,,,0.120,0.460,0.540
15Ð18 Feb 2018,2/15/18,2/18/18,,Newspoll,80,0.360,0.370,0.100,0.080,,,,0.090,0.470,0.530
8Ð11 Feb 2018,2/8/18,2/11/18,,Essential,81,0.360,0.370,0.100,0.060,,,,0.110,0.460,0.540
1Ð3 Feb 2018,2/1/18,2/3/18,,Newspoll,82,0.380,0.370,0.100,0.050,,,,0.100,0.480,0.520
26Ð28 Jan 2018,1/26/18,1/28/18,,Essential,83,0.350,0.360,0.100,0.080,,,,0.110,0.460,0.540
25-Jan-18,1/25/18,1/25/18,,ReachTEL,84,0.340,0.360,0.100,0.080,,,,0.120,0.480,0.520
11Ð15 Jan 2018,1/11/18,1/15/18,,Essential,85,0.370,0.380,0.090,0.060,,,,0.100,0.470,0.530
19-Dec-17,12/19/17,12/19/17,,Essential,86,0.370,0.380,0.090,0.070,,,,0.090,0.470,0.530
14Ð17 Dec 2017,12/14/17,12/17/17,,Newspoll,87,0.360,0.370,0.100,0.070,,,,0.100,0.470,0.530
12-Dec-17,12/12/17,12/12/17,,Essential,88,0.350,0.380,0.100,0.070,,,,0.090,0.460,0.540
7Ð10 Dec 2017,12/7/17,12/10/17,,YouGov,89,0.340,0.350,0.110,0.080,,,,0.130,0.500,0.500
5-Dec-17,12/5/17,12/5/17,,Essential,90,0.350,0.380,0.090,0.080,,,,0.100,0.450,0.550
30 Nov _ 3 Dec 2017,11/30/17,12/3/17,,Newspoll,91,0.360,0.370,0.100,0.080,,,,0.090,0.470,0.530
29-Nov-17,11/29/17,11/29/17,,ReachTEL,92,0.330,0.360,0.100,0.090,,,,0.120,0.470,0.530
28-Nov-17,11/28/17,11/28/17,,Essential,93,0.360,0.380,0.090,0.080,,,,0.090,0.460,0.540
23Ð27 Nov 2017,11/23/17,11/27/17,,YouGov,94,0.320,0.320,0.100,0.110,,,,0.160,0.470,0.530
21-Nov-17,11/21/17,11/21/17,,Essential,95,0.350,0.380,0.090,0.080,,,,0.100,0.460,0.540
14-Nov-17,11/14/17,11/14/17,,YouGov,96,0.310,0.340,0.110,0.110,,,,0.140,0.480,0.520
14-Nov-17,11/14/17,11/14/17,,Essential,97,0.360,0.380,0.090,0.080,,,,0.100,0.460,0.540
13-Nov-17,11/13/17,11/13/17,,Newspoll,98,0.340,0.380,0.090,0.100,,,,0.090,0.450,0.550
30-Oct-17,10/30/17,10/30/17,,Essential,99,0.360,0.370,0.100,0.070,,,,0.090,0.460,0.540
26Ð29 Oct 2017,10/26/17,10/29/17,,Newspoll,,0.350,0.370,0.100,0.090,,,,0.090,0.460,0.540
24-Oct-17,10/24/17,10/24/17,,Essential,100,0.370,0.360,0.090,0.080,,,,0.100,0.480,0.520
12Ð15 Oct 2017,10/12/17,10/15/17,,Newspoll,,0.360,0.370,0.100,0.090,,,,0.080,0.460,0.540
4-Oct-17,10/4/17,10/4/17,,Essential,101,0.360,0.380,0.100,0.070,,,,0.100,0.460,0.540
1-Oct-17,10/1/17,10/1/17,,ReachTEL,102,0.360,0.380,0.090,0.080,,,,0.090,0.470,0.530
26-Sep-17,9/26/17,9/26/17,,Essential,103,0.370,0.370,0.100,0.070,,,,0.090,0.470,0.530
21Ð24 Sep 2017,9/21/17,9/24/17,,Newspoll,104,0.360,0.380,0.090,0.080,,,,0.090,0.460,0.540
19-Sep-17,9/19/17,9/19/17,,Essential,105,0.380,0.360,0.100,0.080,,,,0.080,0.480,0.520
14Ð18 Sep 2017,9/14/17,9/18/17,,YouGov,106,0.340,0.350,0.110,0.090,,,,0.110,0.500,0.500
12-Sep-17,9/12/17,9/12/17,,Essential,107,0.360,0.370,0.100,0.090,,,,0.080,0.460,0.540
6Ð9 Sep 2017,9/6/17,9/9/17,,Ipsos,"108,109",0.350,0.340,0.140,0.010,,,,0.150,0.470,0.530
5-Sep-17,9/5/17,9/5/17,,Essential,107,0.360,0.370,0.100,0.080,,,,0.090,0.470,0.530
31 Aug Ð 4 Sep 2017,8/31/17,9/4/17,,YouGov,110,0.340,0.320,0.120,0.090,,,,0.130,0.500,0.500
28 Aug Ð 2 Sep 2017,8/28/17,9/2/17,,Newspoll,111,0.370,0.380,0.090,0.080,,,,0.080,0.470,0.530
29-Aug-17,8/29/17,8/29/17,,Essential,112,0.370,0.360,0.100,0.080,,,,0.090,0.470,0.530
23-Aug-17,8/23/17,8/23/17,,ReachTEL,113,0.345,0.367,0.103,0.104,,,,0.082,0.480,0.520
22-Aug-17,8/22/17,8/22/17,,Essential,114,0.370,0.370,0.090,0.080,,,,0.090,0.470,0.530
17Ð21 Aug 2017,8/17/17,8/21/17,,YouGov,115,0.340,0.330,0.100,0.100,,,,0.130,0.510,0.490
17Ð20 Aug 2017,8/17/17,8/20/17,,Newspoll,116,0.350,0.380,0.090,0.090,,,,0.090,0.460,0.540
15-Aug-17,8/15/17,8/15/17,,Essential,117,0.370,0.390,0.090,0.080,,,,0.070,0.460,0.540
8-Aug-17,8/8/17,8/8/17,,Essential,118,0.370,0.390,0.090,0.080,,,,0.070,0.460,0.540
3Ð6 Aug 2017,8/3/17,8/6/17,,Newspoll,119,0.360,0.360,0.110,0.080,,,,0.090,0.470,0.530
1-Aug-17,8/1/17,8/1/17,,Essential,120,0.380,0.360,0.100,0.080,,,,0.080,0.480,0.520
25-Jul-17,7/25/17,7/25/17,,Essential,121,0.380,0.370,0.100,0.070,,,,0.080,0.470,0.530
20Ð24 Jul 2017,7/20/17,7/24/17,,YouGov,122,0.360,0.330,0.100,0.080,,,,0.130,0.500,0.500
20Ð23 Jul 2017,7/20/17,7/23/17,,Newspoll,123,0.360,0.370,0.090,0.090,,,,0.090,0.470,0.530
19-Jul-17,7/19/17,7/19/17,,ReachTEL,124,0.372,0.351,0.088,0.117,,,,0.072,0.490,0.510
18-Jul-17,7/18/17,7/18/17,,Essential,125,0.360,0.380,0.100,0.070,,,,0.090,0.460,0.540
6Ð11 Jul 2017,7/6/17,7/11/17,,YouGov,126,0.360,0.330,0.120,0.070,,,,0.120,0.520,0.480
6Ð9 Jul 2017,7/6/17,7/9/17,,Newspoll,127,0.350,0.360,0.100,0.110,,,,0.080,0.470,0.530
29-Jun-17,6/29/17,6/29/17,,ReachTEL,128,0.364,0.354,0.102,0.096,,,,0.083,0.480,0.520
22Ð27 Jun 2017,6/22/17,6/27/17,,YouGov,129,0.330,0.340,0.120,0.070,,,,0.140,0.490,0.510
15Ð18 Jun 2017,6/15/17,6/18/17,,Newspoll,130,0.360,0.370,0.090,0.110,,,,0.070,0.470,0.530
14-Jun-17,6/14/17,6/14/17,,Essential,131,0.380,0.360,0.100,0.080,,,,0.080,0.480,0.520
26Ð29 May 2017,5/26/17,5/29/17,,Newspoll,132,0.360,0.360,0.100,0.090,,,,0.090,0.470,0.530
23-May-17,5/23/17,5/23/17,,Essential,133,0.370,0.380,0.100,0.060,,,,0.090,0.460,0.540
12Ð15 May 2017,5/12/17,5/15/17,,Newspoll,134,0.360,0.360,0.100,0.090,,,,0.090,0.470,0.530
11-May-17,5/11/17,5/11/17,,ReachTEL,135,0.380,0.341,0.109,0.110,,,,0.060,0.470,0.530
10Ð11 May 2017,5/10/17,5/11/17,,Ipsos,136,0.370,0.350,0.130,0.020,,,,0.130,0.470,0.530
26Ð30 Apr 2017,4/26/17,4/30/17,,Essential,137,0.380,0.370,0.090,0.070,,,,0.090,0.470,0.530
20Ð23 Apr 2017,4/20/17,4/23/17,,Newspoll,138,0.360,0.350,0.090,0.100,,,,0.100,0.480,0.520
13Ð16 Apr 2017,4/13/17,4/16/17,,Essential,139,0.360,0.370,0.100,0.080,,,,0.100,0.460,0.540
6Ð9 Apr 2017,4/6/17,4/9/17,,Essential,140,0.370,0.360,0.100,0.080,,,,0.090,0.470,0.530
1Ð4 Apr 2017,4/1/17,4/4/17,,Essential,141,0.370,0.360,0.100,0.080,,,,0.090,0.470,0.530
30 Mar Ð 2 Apr 2017,3/30/17,4/2/17,,Newspoll,142,0.360,0.360,0.100,0.100,,,,0.080,0.470,0.530
24Ð27 Mar 2017,3/24/17,3/27/17,,Essential,143,0.350,0.370,0.100,0.080,,,,0.110,0.460,0.540
22Ð25 Mar 2017,3/22/17,3/25/17,,Ipsos,"144,145",0.330,0.340,0.160,0.020,,,,0.150,0.450,0.550
17Ð20 Mar 2017,3/17/17,3/20/17,,Essential,146,0.340,0.370,0.090,0.100,,,,0.090,0.450,0.550
16Ð19 Mar 2017,3/16/17,3/19/17,,Newspoll,147,0.370,0.350,0.090,0.100,,,,0.090,0.480,0.520
10Ð13 Mar 2017,3/10/17,3/13/17,,Essential,148,0.350,0.360,0.090,0.110,,,,0.090,0.470,0.530
3Ð6 Mar 2017,3/3/17,3/6/17,,Essential,149,0.370,0.370,0.090,0.090,,,,0.080,0.470,0.530
23Ð26 Feb 2017,2/23/17,2/26/17,,Newspoll,150,0.340,0.370,0.100,0.100,,,,0.090,0.450,0.550
16Ð19 Feb 2017,2/16/17,2/19/17,,Essential,151,0.360,0.340,0.100,0.100,,,,0.100,0.480,0.520
9Ð12 Feb 2017,2/9/17,2/12/17,,Essential,152,0.360,0.350,0.090,0.100,,,,0.090,0.480,0.520
2Ð5 Feb 2017,2/2/17,2/5/17,,Newspoll,153,0.350,0.360,0.100,0.080,,,,0.110,0.460,0.540
20Ð23 Jan 2017,1/20/17,1/23/17,,Essential,154,0.350,0.370,0.100,0.090,,,,0.080,0.460,0.540
13Ð16 Jan 2017,1/13/17,1/16/17,,Essential,155,0.380,0.370,0.090,0.080,,,,0.080,0.470,0.530
12-Jan-17,1/12/17,1/12/17,,ReachTEL,156,0.371,0.350,0.098,0.106,,,,0.075,0.460,0.540
9Ð12 Dec 2016,12/9/16,12/12/16,,Essential,157,0.370,0.370,0.090,0.070,,,,0.090,0.470,0.530
1Ð4 Dec 2016,12/1/16,12/4/16,,Newspoll,158,0.390,0.360,0.100,0.050,,,,0.100,0.480,0.520
25Ð28 Nov 2016,11/25/16,11/28/16,,Essential,159,0.390,0.360,0.090,0.070,,,,0.090,0.490,0.510
24Ð26 Nov 2016,11/24/16,11/26/16,,Ipsos,160,0.360,0.300,0.160,0.070,,,,0.090,0.490,0.510
17Ð20 Nov 2016,11/17/16,11/20/16,,Newspoll,161,0.380,0.380,0.100,0.040,,,,0.100,0.470,0.530
11Ð14 Nov 2016,11/11/16,11/14/16,,Essential,162,0.370,0.370,0.110,0.060,,,,0.090,0.470,0.530
3Ð6 Nov 2016,11/3/16,11/6/16,,Newspoll,163,0.390,0.380,0.100,Ð,,,,0.130,0.470,0.530
20Ð23 Oct 2016,10/20/16,10/23/16,,Newspoll,164,0.390,0.370,0.100,0.050,,,,0.090,0.480,0.520
14Ð17 Oct 2016,10/14/16,10/17/16,,Essential,165,0.370,0.370,0.110,0.050,,,,0.090,0.470,0.530
7Ð10 Oct 2016,10/7/16,10/10/16,,Essential,166,0.380,0.360,0.100,0.060,,,,0.100,0.480,0.520
6Ð9 Oct 2016,10/6/16,10/9/16,,Newspoll,167,0.390,0.360,0.100,0.060,,,,0.090,0.480,0.520
22Ð25 Sep 2016,9/22/16,9/25/16,,Newspoll,168,0.380,0.370,0.100,Ð,,,,0.150,0.480,0.520
9Ð12 Sep 2016,9/9/16,9/12/16,,Essential,169,0.380,0.370,0.100,0.050,,,,0.110,0.480,0.520
8Ð11 Sep 2016,9/8/16,9/11/16,,Newspoll,170,0.410,0.360,0.090,Ð,,,,0.140,0.500,0.500
26Ð29 Aug 2016,8/26/16,8/29/16,,Essential,171,0.400,0.370,0.100,Ð,,,,0.130,0.490,0.510
25Ð28 Aug 2016,8/25/16,8/28/16,,Newspoll,172,0.410,0.360,0.090,Ð,,,,0.140,0.500,0.500
19Ð22 Aug 2016,8/19/16,8/22/16,,Essential,173,0.390,0.360,0.100,Ð,,,,0.150,0.490,0.510
12Ð15 Aug 2016,8/12/16,8/15/16,,Essential,174,0.390,0.370,0.100,Ð,,,,0.140,0.480,0.520
5Ð8 Aug 2016,8/5/16,8/8/16,,Essential,175,0.400,0.370,0.100,Ð,,,,0.130,0.480,0.520
27 Jul Ð 1 Aug 2016,7/27/16,8/1/16,,Essential,176,0.390,0.370,0.100,Ð,,,,0.140,0.480,0.520
20Ð24 Jul 2016,7/20/16,7/24/16,,Essential,177,0.390,0.370,0.100,Ð,,,,0.140,0.480,0.520
13Ð17 Jul 2016,7/13/16,7/17/16,,Essential,178,0.390,0.360,0.100,Ð,,,,0.150,0.490,0.510
6Ð10 Jul 2016,7/6/16,7/10/16,,Essential,179,0.410,0.360,0.100,Ð,,,,0.130,0.490,0.510
30 Jun Ð 3 Jul 2016,6/30/16,7/3/16,,Essential,180,0.410,0.370,0.100,Ð,,,,0.120,0.500,0.500
28 Jun Ð 1 Jul 2016,6/28/16,7/1/16,,Newspoll,181,0.420,0.350,0.100,Ð,,,,0.130,0.505,0.495
30-Jun-16,6/30/16,6/30/16,,ReachTEL,182,0.428,0.346,0.107,Ð,,,,0.120,0.510,0.490
27Ð30 Jun 2016,6/27/16,6/30/16,,Essential,183,0.425,0.345,0.115,Ð,,,,0.120,0.505,0.495
28Ð29 Jun 2016,6/28/16,6/29/16,,Galaxy,184,0.430,0.360,0.100,Ð,,,,0.110,0.510,0.490
26Ð29 Jun 2016,6/26/16,6/29/16,,Ipsos,185,0.400,0.330,0.130,Ð,,,,0.140,0.500,0.500
